"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","A1zNzb href","J8zHNe","bbPy1","M4A5Cf","ah5Ghc 2"
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/RICI+by+Matoa+Group/data=!4m7!3m6!1s0x2e68e7799b835831:0x6b0f4bd5dd6cf517!8m2!3d-6.8858791!4d107.6128539!16s%2Fg%2F11zksv5vhp!19sChIJMViDm3nnaC4RF_Vs3dVLD2s?authuser=0&hl=id&rclk=1","RICI by Matoa Group","4,9","(439)","·","Rp 50–75 rb","Kedai Kopi","·","Jl. Sumur Bandung No.14","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH0MK35IGnpo1R_UcHHdkSYbskOyLzQvbXgNbrqDJ2uRxZWFJnv2Z6fv-_xJ5EQTFIn0absaxh9bMA25eq2tdes62QeCE-lEKyCL9rn-m1VdqjbV41X460yx28jaSU_6QoKHetKunoisyia=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makanannya enak, kopinya nikmat, vibesnya modern.""","","","","",""
"https://www.google.com/maps/place/b%26D+%28Coffee+Bawa+Studio%29/data=!4m7!3m6!1s0x2e68e76fa7dbd793:0xa7a5f48657689eb0!8m2!3d-6.8981121!4d107.6074176!16s%2Fg%2F11vcbcrndy!19sChIJk9fbp2_naC4RsJ5oV4b0pac?authuser=0&hl=id&rclk=1","b&D (Coffee Bawa Studio)","4,8","(647)","·","Rp 25–50 rb","Kedai Kopi","·","·","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFRy0RooaEnNvReDI8zg3uOO86fblS0HvoPOyMvdUiG0l5i5M0iXhY1El4Qdl9LUc5XFCsJSlTHF47L61-tGh9b_Cz76rHz_Np8xT-bSWZ7iGT2QThiuANuz7bThJpWqaNWU-WNcQTM-ES2=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makanannya worth the price, kopi dan non kopi nya juga oke banget.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF2Y2Jjcm5keRgAOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=izX3ad6WNMCgnesPobXY4QM&ei=izX3ad6WNMCgnesPobXY4QM&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
"https://www.google.com/maps/place/Nuesara+Coffee+%26+Habitual/data=!4m7!3m6!1s0x2e68e7432d380281:0x2f17fa5105c028bc!8m2!3d-6.8952377!4d107.6113116!16s%2Fg%2F11lv1xkdc9!19sChIJgQI4LUPnaC4RvCjABVH6Fy8?authuser=0&hl=id&rclk=1","Nuesara Coffee & Habitual","4,9","(940)","·","Rp 25–50 rb","Kedai Kopi","·","Jl. Ciungwanara No.10A","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEORs7HfhBCbeDh9P0W4nV1G6MoP04777oPo8sqaf7bPQ0gaaYUZBqfK11bQAHeLB48utGaRzo04TpQA1laP41_x5hfkkou0L3Cd8Hx_YacKIX31yhO_hkfGToqnXD_ZyE8UEU0fZ2DfXd8=w197-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Harga makanan Murah, rasa nikmat, ambience enakeun buat berlama lama.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFsdjF4a2RjORgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=izX3ad6WNMCgnesPobXY4QM&ei=izX3ad6WNMCgnesPobXY4QM&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
"https://www.google.com/maps/place/Kisah+Manis+Dago/data=!4m7!3m6!1s0x2e68e7dc4cbf2303:0x99485828c5ac45f4!8m2!3d-6.895273!4d107.6131165!16s%2Fg%2F11sf43bnrz!19sChIJAyO_TNznaC4R9EWsxShYSJk?authuser=0&hl=id&rclk=1","Kisah Manis Dago","4,9","(6.041)","·","Rp 25–50 rb","Kedai Kopi","·","Jl. Ir. H. Juanda No.98","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH7pO4Ryq3mdavH8kXx2SkwByPmlQqzKL3ZiKn60__TYeWjtuhV7aUEHynAruiyh9Y28MAA0MpGPo2W7sOQKU3U4zMQqJ0eMCL9u-EW0nD1Bv692KdFxNnvqQXpmDTjPIm2nIw77A=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makanannya enak-enak banget, porsinya banyak tapi harganya affordable.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFzZjQzYm5yehgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=izX3ad6WNMCgnesPobXY4QM&ei=izX3ad6WNMCgnesPobXY4QM&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
"https://www.google.com/maps/place/Tempuh+Coffee/data=!4m7!3m6!1s0x2e68e73c1ce176ff:0x32c2c9403f8688e6!8m2!3d-6.8949754!4d107.6107992!16s%2Fg%2F11mzf19c2v!19sChIJ_3bhHDznaC4R5oiGP0DJwjI?authuser=0&hl=id&rclk=1","Tempuh Coffee","5,0","(12)","·","Rp 1–25.000","Kedai Kopi","·","Jl. Gelap Nyawang No.3","Buka","· Tutup pukul 23.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAEUyhMg6iKZeMDXN8ly4TES7_8Xzu7msI-BtrtABLwI3_vWGS-tCT3PL7eJrluIi2JtX--AJV6RGg7vnX9UoJUN_QIV1LuUodaPonvnCYdSeWEt7R8QlBz5AbCKQhpIi_o6MvXnPO603Ig=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""harga terjangkau pas untuk saku mahasiswa dan kopinya creamy""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFtemYxOWMydhgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=izX3ad6WNMCgnesPobXY4QM&ei=izX3ad6WNMCgnesPobXY4QM&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
"https://www.google.com/maps/place/Garden+Coffee+Bandung/data=!4m7!3m6!1s0x2e68e6fc6d9b2155:0x9b228e028efe3e0e!8m2!3d-6.8951759!4d107.6113515!16s%2Fg%2F11hd7mb_5j!19sChIJVSGbbfzmaC4RDj7-jgKOIps?authuser=0&hl=id&rclk=1","Garden Coffee Bandung","4,6","(949)","·","Rp 25–50 rb","Kedai Kopi","·","Jl. Ciungwanara No.10 A","Buka","· Tutup pukul 00.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAExLykKY7-4FffPQ1iLjjcva4ynSNrMTjPBvVU-MkW9E4rX61ynpkBZVpeiCbGEEo-K6Ye6iGGIOoWh-XYvMqv4LJZwhLWE9Z5Ze-pRlB7GQOiakfTPVJJa4hxHqHk3gU9OuVaG=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Oke lah buat sarapan, tempatnya adem, nasi telor enak, pisang goreng enak""","","","","",""
"https://www.google.com/maps/place/One+Eighty+Coffee+and+Music/data=!4m7!3m6!1s0x2e68e650e167c1ab:0xdcc35bc2a4e6d1b1!8m2!3d-6.8938835!4d107.6124492!16s%2Fg%2F11cs125fcc!19sChIJq8Fn4VDmaC4RsdHmpMJbw9w?authuser=0&hl=id&rclk=1","One Eighty Coffee and Music","4,6","(9.187)","·","$$","Kedai Kopi","·","·","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH793j9oxqtlmso7NlxcmvoolCHBwsiBJIxD3WNQ8GAMvqmzuJ5FBqGqdf4Uvxl8Kj-4IVLr-GgrUIkQS-qghU8ntdjxpSQMt3RqevdqDlu1RjUNOdVM3YG29qVruI-uwlqBWc=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Menu makanan nya enak2 semua dan harganya juga affordable.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFjczEyNWZjYxgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=izX3ad6WNMCgnesPobXY4QM&ei=izX3ad6WNMCgnesPobXY4QM&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
"https://www.google.com/maps/place/Angka+Sembilan+Coffee/data=!4m7!3m6!1s0x2e68e7ca1067a681:0xcafa9caeca18b54c!8m2!3d-6.8953992!4d107.6113898!16s%2Fg%2F11lb2nwmfb!19sChIJgaZnEMrnaC4RTLUYyq6c-so?authuser=0&hl=id&rclk=1","Angka Sembilan Coffee","4,8","(89)","·","Rp 25–50 rb","Kedai Kopi","·","Jl. Ciungwanara No.10","Buka","· Tutup pukul 00.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGPH0gJIhyuoTyLS02ntTS83UXXjuyYXoIJQwEjLXgL762l0eCGj_XjzwGZMpmiotSv49QTYlQ-ohCNxDapzW7s_Hvr8OH6OTK3yFoA74e-PhZoljlEKX-Xvwy6JCf4r1mTIU2Lew=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempat ngopiinya bagus, enak enak menuny""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFsYjJud21mYhgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=izX3ad6WNMCgnesPobXY4QM&ei=izX3ad6WNMCgnesPobXY4QM&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","",""
